Down_regulated,Gene_Symbol,log2(T/C),P-value (DE)
PH_rn_0007558,Spsb1,-1.268916,0.009658616
PH_rn_0007623,Meaf6,-1.305509,5.6E-09
PH_rn_0007644,Tbx18,-1.050799,0.000741771
PH_rn_0007870,Sema6d,-1.075719,0.002268026
PH_rn_0008007,Tspan14,-1.241581,4.55E-17
PH_rn_0008088,Tubgcp6,-1.262541,0.0000333
PH_rn_0008090,Smarcd1,-1.244245,0.000016
PH_rn_0008174,Mrpl12,-1.170319,6.47E-19
PH_rn_0008183,Rnf26,-1.305512,0.002873538
PH_rn_0008262,Fbxo5,-1.473237,0.00000762
PH_rn_0008327,Tbl1xr1,-1.332724,0.002168354
PH_rn_0008437,Dmrta2,-1.225518,0.00105486
PH_rn_0008559,Hdhd3,-1.126006,0.000000066
PH_rn_0008707,Rhobtb2,-1.265949,0.000035325
PH_rn_0008719,Extl2,-1.123963,0.0000173
PH_rn_0008763,Fkrp,-1.291785,3.17E-22
PH_rn_0008770,Irf2bp1,-1.359325,0.000000016
PH_rn_0008838,Cyp2r1,-1.171289,0.001584316
PH_rn_0008988,Prss53,-1.292305,0.024959039
PH_rn_0009017,Cbx7,-1.429269,5.18E-08
PH_rn_0009121,Vil1,-1.125547,0.004253652
PH_rn_0009147,C8g,-1.071212,0.000089
PH_rn_0009161,Sipa1,-1.387247,0.000000017
PH_rn_0009232,Spsb4,-1.012112,5.77E-10
PH_rn_0009235,Fn3krp,-1.289163,0.000806749
PH_rn_0009243,Dcun1d2,-1.076466,0.028958533
PH_rn_0009282,Spry4,-1.343421,0.0000633
PH_rn_0009283,Slc25a2,-1.439615,0.0000519
PH_rn_0009285,Rwdd2a,-1.42312,1.36E-10
PH_rn_0009333,Pycard,-1.027854,0.00000919
PH_rn_0009340,Smarcc1,-1.134518,0.000067204
PH_rn_0009418,Setd6,-1.120204,7.23E-15
PH_rn_0009433,Cbr3,-1.036341,0.001545873
PH_rn_0009448,Mypop,-1.006028,0.000280627
PH_rn_0009507,Zfp161,-1.119905,0.006718789
PH_rn_0009534,Syne3,-1.058749,0.0000105
PH_rn_0009540,Klhl40,-1.229859,0.0000674
PH_rn_0009748,Adck2,-1.003094,0.00000152
PH_rn_0009775,Trerf1,-1.099806,0.000808064
PH_rn_0009824,Fam89a,-1.080829,6.55E-08
PH_rn_0009836,Map4k2,-1.320411,2.21E-10
PH_rn_0009890,Dtd2,-1.378559,2.53E-15
PH_rn_0009910,Mlf2,-1.14067,4.03E-08
PH_rn_0009918,RGD1311892,-1.144683,0.0000362
PH_rn_0010118,Copz2,-1.00762,4.06E-09
PH_rn_0010213,Fam210b,-1.054213,0.000127948
PH_rn_0010401,Cnnm3,-1.552808,6.15E-09
PH_rn_0010498,Kbtbd3,-1.128704,0.001811403
PH_rn_0010547,Ube2d1,-1.571149,2.41E-08
PH_rn_0010563,Klhl42,-1.500506,0.0000105
PH_rn_0010578,Lcn2,-1.095911,0.000268887
PH_rn_0010644,Mum1,-1.59913,0.0000129
PH_rn_0010652,Trove2,-1.108123,0.018498035
PH_rn_0010735,Pla2g6,-1.071973,0.001820854
PH_rn_0010771,Aars2,-1.038378,0.005599171
PH_rn_0010794,Eme1,-1.002313,0.00000713
PH_rn_0010823,Nudt12,-1.308708,0.000243974
PH_rn_0010855,Pcyt1b,-1.127227,0.01696383
PH_rn_0010992,Vamp1,-1.422902,0.0000054
PH_rn_0011003,Csf3,-1.250462,0.0000461
PH_rn_0011030,Rnf145,-1.143348,0.00000383
PH_rn_0011041,Rasl10a,-1.463051,4.99E-14
PH_rn_0011042,Adamts1,-1.993529,3.62E-09
PH_rn_0011176,Sema4c,-1.045686,0.000000467
PH_rn_0011442,Tgfb1,-1.478798,4.58E-14
PH_rn_0011549,Ntf4,-1.083276,0.018615713
PH_rn_0011566,Abca1,-1.098185,0.006690373
PH_rn_0011586,Atp6v0a2,-1.248054,4.94E-12
PH_rn_0011840,Camp,-1.190653,0.01176402
PH_rn_0011856,Sh3rf1,-1.208418,0.004392671
PH_rn_0011863,Ptpn4,-1.018016,0.00985867
PH_rn_0012041,Camta2,-1.177687,0.0000436
PH_rn_0012060,Cd14,-1.382725,1.28E-08
PH_rn_0012089,Mmp3,-1.147329,7.56E-08
PH_rn_0012103,Pdcd4,-1.040688,0.002078516
PH_rn_0012150,Ednra,-1.448142,0.00000542
PH_rn_0012182,Aurkb,-1.036956,0.00017986
PH_rn_0012201,Uba1,-1.086872,0.00000519
PH_rn_0012231,Gucy1b3,-1.32609,0.000333612
PH_rn_0012272,Cdc6,-1.224098,0.0000121
PH_rn_0012295,Gja1,-1.406264,5.96E-17
PH_rn_0012388,Pla2g2a,-1.74686,0.00000673
